timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731938461249,166,SignIn,200,OK,Thread Group 1-82,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,166,0,0
1731938461198,217,Orders,404,Not Found,Thread Group 1-75,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,217,0,0
1731938461258,160,SignIn,200,OK,Thread Group 1-91,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,160,0,0
1731938461194,226,Orders,404,Not Found,Thread Group 1-26,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,226,0,0
1731938461203,219,Orders,404,Not Found,Thread Group 1-60,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,219,0,0
1731938461210,218,Orders,404,Not Found,Thread Group 1-1,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,217,0,0
1731938461221,207,Orders,404,Not Found,Thread Group 1-67,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,207,0,0
1731938461201,234,Orders,404,Not Found,Thread Group 1-55,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,234,0,0
1731938461220,215,Orders,404,Not Found,Thread Group 1-17,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,215,0,0
1731938461187,252,Orders,404,Not Found,Thread Group 1-73,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,251,0,0
1731938461201,239,Orders,404,Not Found,Thread Group 1-11,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,238,0,0
1731938461211,229,Orders,404,Not Found,Thread Group 1-23,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,229,0,0
1731938461211,230,Orders,404,Not Found,Thread Group 1-76,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,230,0,0
1731938461209,233,Orders,404,Not Found,Thread Group 1-8,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,233,0,0
1731938461274,171,Orders,404,Not Found,Thread Group 1-89,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,171,0,0
1731938461298,168,Orders,404,Not Found,Thread Group 1-3,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,168,0,0
1731938461299,168,SignIn,200,OK,Thread Group 1-84,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,168,0,0
1731938461252,218,Orders,404,Not Found,Thread Group 1-87,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,218,0,0
1731938461293,179,Orders,404,Not Found,Thread Group 1-62,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,179,0,0
1731938461255,219,Orders,404,Not Found,Thread Group 1-38,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,218,0,0
1731938461309,167,SignIn,200,OK,Thread Group 1-94,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,167,0,0
1731938461310,167,SignIn,200,OK,Thread Group 1-95,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,167,0,0
1731938461293,186,Orders,404,Not Found,Thread Group 1-81,text,false,,1615,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,186,0,0
1731938461310,169,SignIn,200,OK,Thread Group 1-92,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,169,0,0
1731938461294,185,Orders,404,Not Found,Thread Group 1-79,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,185,0,0
1731938461259,221,Orders,404,Not Found,Thread Group 1-34,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,221,0,0
1731938461276,205,Orders,404,Not Found,Thread Group 1-57,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,205,0,0
1731938461278,209,Orders,404,Not Found,Thread Group 1-72,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,208,0,0
1731938461284,204,Orders,404,Not Found,Thread Group 1-30,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,204,0,0
1731938461280,226,Orders,404,Not Found,Thread Group 1-74,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,226,0,0
1731938461297,210,Orders,404,Not Found,Thread Group 1-71,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,209,0,0
1731938461282,228,Orders,404,Not Found,Thread Group 1-65,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,227,0,0
1731938461285,227,Orders,404,Not Found,Thread Group 1-68,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,227,0,0
1731938461291,223,Orders,404,Not Found,Thread Group 1-61,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,223,0,0
